,lat,lon
1806,18.24149,104.18443
1807,18.25311,104.179
1808,18.32775,105.89631
1809,18.37193,103.75303
1810,18.39818,103.62936
1811,18.39818,103.62936
1812,18.41356,103.61084
1813,18.3818,103.20293
1814,18.61931,102.32727
1815,18.58916,102.23889
1816,18.76091,102.36231
1817,18.52616,101.60089
1818,18.51977,101.60825
1819,18.67864,101.67419
1820,18.67266,101.67001
1821,18.32111,102.05364
1822,18.31601,102.04798
1823,18.28269,102.22571
1824,18.27677,102.22561
1825,13.240278,101.683611
1826,13.75788001,101.684023
1827,13.75788001,101.684023
1828,13.757734,101.683771
1829,13.757734,101.683771
1830,13.980833,102.059167
1831,13.937778,102.1025
1832,13.940556,102.103889
1833,13.93786303,102.102454
1834,13.93786303,102.102454
1835,13.93811197,102.102101
1836,13.93811197,102.102101
1837,13.94060399,102.103739
1838,13.94060399,102.103739
1839,13.98077602,102.05089
1840,13.98077602,102.05089
1841,13.98149796,102.050979
1842,13.98149796,102.050979
1843,14.50871497,101.956984
1844,14.69325598,101.963523
1845,14.67966498,101.896292
1846,14.59262101,101.89095
1847,14.588607,101.892438
1848,14.582078,101.891718
1849,14.49321298,101.94274
1850,14.49436499,101.942288
1851,14.49633398,101.94823
1852,14.60302404,102.023504
1853,13.93235302,101.577816
1854,14.58528701,102.048775
1855,14.56360303,102.080336
1856,14.79811301,101.900756
1857,14.80745204,101.869359
1858,14.66115799,101.460577
1859,14.53787302,101.109796
1860,14.57373901,101.076016
1861,14.53202203,100.974174
1862,17.20286803,100.025059
1863,17.20123499,100.023533
1864,17.20923602,99.96214304
1865,15.78065101,100.120985
1866,16.54260901,100.148251
1867,16.535359,100.149469
1868,16.36766503,100.132208
1869,16.71255796,100.175018
1870,17.17366003,99.92381603
1871,17.04120199,99.91223501
1872,16.96000599,99.959677
1873,16.959303,100.107609
1874,16.92183103,100.181522
1875,14.62236679,101.0362863
1876,14.6228376,101.0359707
1877,14.60432684,101.0417758
1878,12.70405702,101.078159
1879,12.70662297,101.074452
1880,12.70336409,101.0778238
1881,12.70637797,101.074627
1882,12.76485231,99.70633498
1883,12.76495339,99.70639416
1884,12.69687164,101.0717766
1885,12.69130697,101.070594
1886,12.69689301,101.071742
1887,12.692476,101.083026
1888,12.68551801,101.093843
1889,12.71757846,101.0896777
1890,12.55651927,99.87141497
1891,12.75578435,99.7074999
1892,12.77887372,99.70177053
1893,12.76485231,99.70633498
1894,12.76495339,99.70639416
1895,12.74156252,99.69495915
1896,12.74148591,99.69583548
1897,12.76495599,99.70639701
1898,15.38716625,99.74241815
1899,15.38716625,99.74241815
1900,15.52840181,99.48958391
1901,15.72780648,99.54679721
1902,15.94022194,99.46272661
1903,15.94698655,99.46154611
1904,15.95520879,99.45935035
1905,15.96070749,99.45828827
1906,17.10430134,99.07585712
1907,14.18390293,100.2912506
1908,14.18390293,100.2912506
1909,14.22990815,100.2724116
1910,14.22990815,100.2724116
1911,14.22990815,100.2724116
1912,14.22990815,100.2724116
1913,14.33581343,100.2005387
1914,14.33581343,100.2005387
1915,14.33581343,100.2005387
1916,14.33581343,100.2005387
1917,14.63843733,99.92634324
1918,14.63843733,99.92634324
1919,14.63843733,99.92634324
1920,14.63843733,99.92634324
1921,14.63669388,99.88174853
1922,14.67340331,99.85384924
1923,14.70210262,99.84025149
1924,14.72468927,99.8217134
1925,14.72850744,99.81574544
1926,14.81364551,99.620612
1927,14.81364551,99.620612
1928,14.81364551,99.620612
1929,14.81364551,99.620612
1930,14.81364551,99.620612
1931,14.77071891,99.56802137
1932,14.72600162,99.53786292
1933,14.71732796,99.52348978
1934,14.71864029,99.51480741
1935,14.71695964,99.51435758
1936,14.61312868,99.58073384
1937,14.61020576,99.58540563
1938,14.60741931,99.58970628
1939,14.602802,99.60280343
1940,14.59706806,99.62077103
1941,14.59601688,99.62167792
1942,14.49039769,99.72895049
1943,14.50117419,99.73774589
1944,14.50117419,99.73774589
1945,14.49601466,99.73683797
1946,14.49849654,99.74110557
1947,14.50097576,99.73759675
1948,14.49235203,99.7196681
1949,14.38465915,99.73601712
1950,14.3573318,99.7289445
1951,14.35303339,99.73896475
1952,14.60482407,99.50510852
1953,14.59981032,99.50737173
1954,14.59992723,99.51180062
1955,14.59992723,99.51180062
1956,11.79767322,99.77654248
1957,11.62239723,99.68853903
1958,11.62250712,99.68828028
1959,11.7848448,99.75569316
1960,12.55651927,99.87141497
1961,12.56930117,99.86782501
1962,12.73363332,99.92761815
1963,13.64912407,99.462433
1964,13.64912407,99.462433
1965,13.64912407,99.462433
1966,13.64912407,99.462433
1967,13.64912407,99.462433
1968,13.64912407,99.462433
1969,13.64912407,99.462433
1970,13.64912407,99.462433
1971,13.64912407,99.462433
1972,13.64929623,99.46256384
1973,13.5387168,99.55537381
1974,13.54209789,99.55324053
1975,13.61736411,99.41449966
1976,13.61793132,99.4293073
1977,13.63744573,99.46250894
1978,13.65439025,99.45824356
1979,13.65449343,99.45821833
1980,13.64283219,99.54013132
1981,13.64285599,99.540076
1982,13.64295381,99.5398791
1983,13.58476714,99.71294797
1984,13.58445198,99.71281503
1985,16.98428978,99.11996938
1986,17.06135688,99.07013533
1987,17.06135688,99.07013533
1988,17.06135688,99.07013533
1989,17.06135688,99.07013533
1990,17.06135688,99.07013533
1991,17.06135688,99.07013533
1992,17.21088004,99.12250344
1993,17.80925508,99.72705531
1994,16.97302073,99.52073236
1995,16.96202393,99.51201402
1996,16.94963292,99.52199218
1997,16.97726406,99.52273543
1998,16.97732381,99.524107
1999,16.98413676,99.53898651
2000,16.72924831,99.60022591
2001,16.71932297,99.61258635
2002,16.71932297,99.61258635
2003,16.71932297,99.61258635
2004,16.71932297,99.61258635
2005,16.71932297,99.61258635
2006,16.71932297,99.61258635
2007,16.71932297,99.61258635
2008,16.71932297,99.61258635
2009,16.71932297,99.61258635
2010,16.71932297,99.61258635
2011,16.71932297,99.61258635
2012,16.71548845,99.61624177
2013,16.71548845,99.61624177
2014,16.71548845,99.61624177
2015,16.71548845,99.61624177
2016,16.71548845,99.61624177
2017,16.71548845,99.61624177
2018,16.71548845,99.61624177
2019,16.71548845,99.61624177
2020,16.71548845,99.61624177
2021,12.7154565,100.9876714
